partner_id,partner_segment,region,channel,price_band,quality_score,eligible_for_test,treatment_group,baseline_commission_rate,test_incentive_rate,bookings_before,bookings_after,adr,gross_revenue_before,gross_revenue_after,platform_margin_before,platform_margin_after,cancellation_rate_before,cancellation_rate_after,cannibalization_pressure,booking_delta,revenue_delta,margin_delta
100011,Long Tail,Central Europe,Direct,Midscale,67.4,0,0,0.15,0.0,50,45,131.98,6598.81,5938.93,989.82,890.84,0.0862,0.0867,0.01,-5,-659.8800000000001,-98.98000000000002
100012,Core,Central Europe,Mobile,Budget,59.0,0,0,0.165,0.0,116,102,101.75,11803.08,10378.57,1947.51,1712.46,0.1102,0.1114,0.01,-14,-1424.5100000000002,-235.04999999999995
100013,Premium,Central Europe,Direct,Upscale,90.9,0,0,0.175,0.0,173,159,195.06,33746.15,31015.25,5905.58,5427.67,0.0998,0.0972,0.01,-14,-2730.9000000000015,-477.90999999999985
100014,Core,Central Europe,Mobile,Budget,69.7,1,1,0.165,0.025,187,177,96.37,18020.26,17056.61,2973.34,2387.92,0.116,0.1226,0.01,-10,-963.6499999999978,-585.4200000000001
100015,Growth,Central Europe,Affiliate,Midscale,77.8,1,0,0.155,0.0,217,209,147.35,31974.55,30795.77,4956.06,4773.34,0.0872,0.0897,0.01,-8,-1178.7799999999988,-182.72000000000025
100016,Core,North Europe,Mobile,Midscale,72.1,1,0,0.165,0.0,173,158,113.4,19617.61,17916.66,3236.91,2956.25,0.1208,0.1147,0.01,-15,-1700.9500000000007,-280.65999999999985
100017,Growth,North Europe,Affiliate,Budget,80.7,1,0,0.155,0.0,255,271,98.98,25240.85,26824.59,3912.33,4157.81,0.0939,0.0921,0.01,16,1583.7400000000016,245.48000000000047
100018,Premium,West Europe,Affiliate,Budget,68.5,0,0,0.175,0.0,491,456,95.91,47093.96,43736.96,8241.44,7653.97,0.0896,0.0801,0.01,-35,-3357.0,-587.4700000000003
100019,Core,West Europe,Affiliate,Midscale,76.2,1,0,0.165,0.0,177,163,139.09,24619.61,22672.29,4062.24,3740.93,0.0776,0.0789,0.025,-14,-1947.3199999999997,-321.30999999999995
100020,Premium,North Europe,Corporate,Budget,82.5,0,0,0.175,0.0,268,259,92.66,24831.84,23997.93,4345.57,4199.64,0.0986,0.1056,0.01,-9,-833.9099999999999,-145.92999999999938
100021,Core,Central Europe,Affiliate,Budget,67.9,1,1,0.165,0.025,180,202,77.96,14032.85,15747.97,2315.42,2204.72,0.1025,0.0801,0.01,22,1715.119999999999,-110.70000000000027
100022,Long Tail,South Europe,Affiliate,Midscale,71.0,0,0,0.15,0.0,101,103,139.28,14066.97,14345.52,2110.05,2151.83,0.0667,0.0426,0.01,2,278.5500000000011,41.779999999999745
100023,Long Tail,West Europe,Affiliate,Midscale,74.5,0,0,0.15,0.0,158,157,109.82,17351.37,17241.55,2602.71,2586.23,0.1184,0.1255,0.025,-1,-109.81999999999971,-16.480000000000018
100024,Premium,North Europe,Mobile,Midscale,63.7,0,0,0.175,0.0,193,168,127.08,24525.85,21348.93,4292.02,3736.06,0.0972,0.0986,0.01,-25,-3176.9199999999983,-555.9600000000005
100025,Growth,West Europe,Direct,Budget,73.8,1,0,0.155,0.0,154,138,72.29,11133.0,9976.33,1725.62,1546.33,0.1378,0.1259,0.01,-16,-1156.67,-179.28999999999996
100026,Core,North Europe,Affiliate,Upscale,79.2,1,1,0.165,0.025,150,138,295.95,44393.21,40841.76,7324.88,5717.85,0.0569,0.0575,0.01,-12,-3551.449999999997,-1607.0299999999997
100027,Growth,Central Europe,Affiliate,Budget,74.0,1,1,0.155,0.025,286,347,77.58,22187.4,26919.68,3439.05,3499.56,0.0933,0.0913,0.01,61,4732.279999999999,60.50999999999976
100028,Growth,South Europe,Corporate,Budget,75.3,1,1,0.155,0.025,255,291,82.29,20983.22,23945.55,3252.4,3112.92,0.0788,0.0515,0.01,36,2962.329999999998,-139.48000000000002
100029,Premium,South Europe,Affiliate,Budget,77.8,0,0,0.175,0.0,198,183,92.62,18339.19,16949.86,3209.36,2966.23,0.0692,0.0685,0.01,-15,-1389.329999999998,-243.1300000000001
100030,Premium,West Europe,Affiliate,Budget,71.4,0,0,0.175,0.0,264,251,82.33,21736.2,20665.86,3803.84,3616.53,0.0884,0.0612,0.01,-13,-1070.3400000000001,-187.30999999999995
100031,Long Tail,West Europe,Corporate,Budget,84.9,0,0,0.15,0.0,139,129,77.83,10818.27,10039.98,1622.74,1506.0,0.1299,0.1321,0.01,-10,-778.2900000000009,-116.74000000000001
100032,Core,West Europe,Affiliate,Budget,92.4,1,1,0.165,0.025,236,225,81.58,19252.8,18355.43,3176.71,2569.76,0.081,0.0738,0.01,-11,-897.369999999999,-606.9499999999998
100033,Core,South Europe,Direct,Budget,73.4,1,1,0.165,0.025,150,161,94.51,14177.02,15216.67,2339.21,2130.33,0.0787,0.0779,0.01,11,1039.6499999999996,-208.8800000000001
100034,Core,South Europe,Direct,Midscale,82.9,1,1,0.165,0.025,136,137,118.04,16053.63,16171.67,2648.85,2264.03,0.0422,0.0645,0.01,1,118.04000000000087,-384.8199999999997
100035,Growth,North Europe,Direct,Upscale,75.6,1,0,0.155,0.0,190,226,235.81,44803.16,53292.18,6944.49,8260.29,0.053,0.0514,0.01,36,8489.019999999997,1315.800000000001
100036,Growth,Central Europe,Direct,Budget,81.7,1,1,0.155,0.025,158,191,82.14,12978.75,15689.51,2011.71,2039.64,0.0759,0.0978,0.01,33,2710.76,27.930000000000064
100037,Core,North Europe,Direct,Budget,93.7,1,1,0.165,0.025,151,174,94.1,14209.73,16374.13,2344.61,2292.38,0.0601,0.07,0.01,23,2164.3999999999996,-52.23000000000002
100038,Growth,Central Europe,Mobile,Upscale,83.1,1,0,0.155,0.0,131,139,253.82,33250.38,35280.93,5153.81,5468.54,0.0821,0.0973,0.01,8,2030.550000000003,314.72999999999956
100039,Core,North Europe,Mobile,Upscale,60.3,0,0,0.165,0.0,70,67,238.98,16728.32,16011.39,2760.17,2641.88,0.0562,0.0533,0.01,-3,-716.9300000000003,-118.28999999999996
100040,Core,West Europe,Direct,Midscale,82.5,1,1,0.165,0.025,169,181,127.27,21508.48,23035.71,3548.9,3225.0,0.086,0.0862,0.025,12,1527.2299999999996,-323.9000000000001
100041,Premium,Central Europe,Affiliate,Budget,90.3,0,0,0.175,0.0,378,366,78.67,29738.18,28794.11,5204.18,5038.97,0.1053,0.0918,0.01,-12,-944.0699999999997,-165.21000000000004
100042,Premium,North Europe,Direct,Midscale,75.8,0,0,0.175,0.0,312,358,118.04,36829.74,42259.77,6445.2,7395.46,0.1364,0.1456,0.01,46,5430.029999999999,950.2600000000002
100043,Core,West Europe,Corporate,Budget,88.0,1,0,0.165,0.0,358,371,63.57,22756.99,23583.36,3754.9,3891.26,0.0349,0.02,0.01,13,826.369999999999,136.36000000000013
100044,Premium,West Europe,Direct,Budget,71.1,0,0,0.175,0.0,155,159,67.49,10460.3,10730.25,1830.55,1877.79,0.081,0.0826,0.01,4,269.9500000000007,47.24000000000001
100045,Premium,West Europe,Affiliate,Midscale,63.1,0,0,0.175,0.0,266,269,144.26,38373.77,38806.56,6715.41,6791.15,0.0885,0.0815,0.025,3,432.7900000000009,75.73999999999978
100046,Core,South Europe,Direct,Midscale,79.4,1,1,0.165,0.025,187,223,104.64,19567.76,23334.81,3228.68,3266.87,0.0954,0.1178,0.01,36,3767.050000000003,38.190000000000055
100047,Core,Central Europe,Affiliate,Midscale,60.4,0,0,0.165,0.0,130,113,153.54,19960.09,17349.92,3293.41,2862.74,0.0824,0.0691,0.01,-17,-2610.170000000002,-430.6700000000001
100048,Premium,Central Europe,Direct,Midscale,75.6,0,0,0.175,0.0,328,382,114.98,37713.16,43922.03,6599.8,7686.36,0.1381,0.1306,0.01,54,6208.869999999995,1086.5599999999995
100049,Growth,West Europe,Mobile,Budget,90.9,1,0,0.155,0.0,223,219,99.17,22115.24,21718.56,3427.86,3366.38,0.0801,0.0802,0.01,-4,-396.6800000000003,-61.48000000000002
100050,Growth,West Europe,Direct,Midscale,58.9,0,0,0.155,0.0,93,81,130.36,12123.37,10559.07,1879.12,1636.66,0.1115,0.1143,0.025,-12,-1564.300000000001,-242.4599999999998
100051,Growth,West Europe,Corporate,Midscale,65.2,0,0,0.155,0.0,259,241,125.32,32459.04,30203.2,5031.15,4681.5,0.1474,0.1379,0.025,-18,-2255.84,-349.64999999999964
100052,Premium,West Europe,Affiliate,Upscale,67.7,0,0,0.175,0.0,250,213,102.53,25633.06,21839.37,4485.79,3821.89,0.1044,0.1033,0.01,-37,-3793.6900000000023,-663.9000000000001
100053,Core,North Europe,Mobile,Budget,77.4,1,1,0.165,0.025,202,221,75.07,15163.44,16589.7,2501.97,2322.56,0.104,0.1191,0.01,19,1426.2600000000002,-179.40999999999985
100054,Premium,Central Europe,Mobile,Midscale,74.3,0,0,0.175,0.0,148,134,156.41,23148.05,20958.37,4050.91,3667.72,0.0786,0.0587,0.01,-14,-2189.6800000000003,-383.19000000000005
100055,Premium,Central Europe,Corporate,Budget,92.0,0,0,0.175,0.0,283,287,85.38,24161.4,24502.9,4228.24,4288.01,0.0435,0.0434,0.01,4,341.5,59.77000000000044
100056,Core,South Europe,Direct,Budget,87.5,1,0,0.165,0.0,339,374,78.25,26527.84,29266.7,4377.09,4829.01,0.0675,0.0561,0.01,35,2738.8600000000006,451.9200000000001
100057,Core,West Europe,Direct,Midscale,83.0,1,1,0.165,0.025,226,217,148.45,33549.65,32213.61,5535.69,4509.9,0.1425,0.1457,0.025,-9,-1336.0400000000009,-1025.79
100058,Growth,West Europe,Direct,Budget,79.5,1,0,0.155,0.0,121,118,96.1,11628.36,11340.06,1802.4,1757.71,0.1075,0.1107,0.01,-3,-288.3000000000011,-44.690000000000055
100059,Growth,West Europe,Direct,Midscale,81.9,1,1,0.155,0.025,254,245,137.96,35042.92,33801.24,5431.65,4394.16,0.0958,0.1262,0.025,-9,-1241.6800000000003,-1037.4899999999998
100060,Core,West Europe,Affiliate,Midscale,69.4,1,0,0.165,0.0,206,199,174.64,35975.04,34752.59,5935.88,5734.18,0.0785,0.0639,0.025,-7,-1222.4500000000044,-201.69999999999982
100061,Core,West Europe,Corporate,Budget,86.6,1,1,0.165,0.025,266,337,94.97,25262.51,32005.51,4168.31,4480.77,0.1066,0.1166,0.01,71,6743.0,312.46000000000004
100062,Core,North Europe,Corporate,Budget,66.9,0,0,0.165,0.0,200,214,65.76,13151.2,14071.78,2169.95,2321.84,0.0717,0.0828,0.01,14,920.5799999999999,151.89000000000033
100063,Premium,North Europe,Affiliate,Midscale,86.4,0,0,0.175,0.0,176,172,140.53,24733.76,24171.63,4328.41,4230.03,0.0449,0.0217,0.01,-4,-562.1299999999974,-98.38000000000011
100064,Core,Central Europe,Affiliate,Upscale,89.9,1,0,0.165,0.0,215,203,296.95,63843.95,60280.57,10534.25,9946.29,0.0662,0.0485,0.01,-12,-3563.3799999999974,-587.9599999999991
100065,Core,West Europe,Mobile,Midscale,80.1,1,0,0.165,0.0,179,178,107.47,19237.62,19130.15,3174.21,3156.47,0.1399,0.147,0.025,-1,-107.46999999999753,-17.740000000000236
100066,Core,Central Europe,Corporate,Midscale,76.2,1,0,0.165,0.0,205,207,133.02,27268.77,27534.81,4499.35,4543.24,0.1427,0.1393,0.01,2,266.0400000000009,43.88999999999942
100067,Core,North Europe,Direct,Budget,82.0,1,1,0.165,0.025,285,284,88.68,25273.71,25185.03,4170.16,3525.9,0.0776,0.08,0.01,-1,-88.68000000000029,-644.2599999999998
100068,Growth,West Europe,Affiliate,Midscale,49.4,0,0,0.155,0.0,134,140,125.85,16863.38,17618.46,2613.82,2730.86,0.1083,0.1157,0.025,6,755.0799999999981,117.03999999999996
100069,Core,North Europe,Mobile,Budget,81.0,1,0,0.165,0.0,361,330,72.92,26324.89,24064.31,4343.61,3970.61,0.049,0.0526,0.01,-31,-2260.579999999998,-372.99999999999955
100070,Growth,West Europe,Direct,Midscale,76.9,1,1,0.155,0.025,245,243,135.47,33189.85,32918.91,5144.43,4279.46,0.0965,0.1097,0.025,-2,-270.93999999999505,-864.9700000000003
100071,Core,North Europe,Direct,Midscale,77.5,1,0,0.165,0.0,258,267,152.02,39221.48,40589.67,6471.54,6697.29,0.0979,0.1038,0.01,9,1368.189999999995,225.75
100072,Long Tail,North Europe,Corporate,Midscale,85.1,0,0,0.15,0.0,176,157,149.59,26327.57,23485.39,3949.14,3522.81,0.1052,0.0899,0.01,-19,-2842.1800000000003,-426.3299999999999
100073,Growth,Central Europe,Corporate,Budget,77.3,1,1,0.155,0.025,242,281,97.84,23677.14,27492.88,3669.96,3574.07,0.1169,0.1505,0.01,39,3815.7400000000016,-95.88999999999987
100074,Growth,West Europe,Corporate,Budget,66.6,0,0,0.155,0.0,238,238,80.89,19252.09,19252.09,2984.07,2984.07,0.1011,0.1061,0.01,0,0.0,0.0
100075,Core,South Europe,Mobile,Budget,76.6,1,0,0.165,0.0,49,41,79.16,3878.98,3245.68,640.03,535.54,0.1088,0.0989,0.01,-8,-633.3000000000002,-104.49000000000001
100076,Core,West Europe,Direct,Midscale,78.7,1,0,0.165,0.0,248,250,131.88,32705.84,32969.6,5396.46,5439.98,0.0751,0.0847,0.025,2,263.7599999999984,43.51999999999953
100077,Core,West Europe,Direct,Upscale,79.1,1,0,0.165,0.0,141,120,261.18,36825.68,31341.01,6076.24,5171.27,0.1055,0.1324,0.01,-21,-5484.670000000002,-904.9699999999993
100078,Core,West Europe,Affiliate,Budget,79.6,1,0,0.165,0.0,192,204,89.52,17186.97,18261.15,2835.85,3013.09,0.0789,0.0762,0.01,12,1074.1800000000003,177.24000000000024
100079,Premium,North Europe,Affiliate,Midscale,88.4,0,0,0.175,0.0,288,282,124.25,35785.42,35039.89,6262.45,6131.98,0.0933,0.0999,0.01,-6,-745.5299999999988,-130.47000000000025
100080,Core,Central Europe,Affiliate,Midscale,67.1,1,0,0.165,0.0,260,303,168.97,43932.01,51197.69,7248.78,8447.62,0.1149,0.1097,0.01,43,7265.68,1198.840000000001
100081,Core,Central Europe,Affiliate,Budget,79.8,1,0,0.165,0.0,142,156,80.33,11407.18,12531.83,1882.18,2067.75,0.0931,0.0941,0.01,14,1124.6499999999996,185.56999999999994
100082,Premium,South Europe,Direct,Budget,90.9,0,0,0.175,0.0,220,199,92.41,20330.31,18389.69,3557.8,3218.2,0.0989,0.0808,0.01,-21,-1940.6200000000026,-339.60000000000036
100083,Growth,West Europe,Mobile,Budget,60.7,0,0,0.155,0.0,167,137,105.03,17540.79,14389.75,2718.82,2230.41,0.0733,0.0733,0.01,-30,-3151.040000000001,-488.4100000000003
100084,Growth,North Europe,Direct,Midscale,79.8,1,1,0.155,0.025,232,238,148.62,34479.98,35371.7,5344.4,4598.32,0.0647,0.09,0.01,6,891.7199999999939,-746.0799999999999
100085,Growth,Central Europe,Direct,Midscale,72.1,1,1,0.155,0.025,187,184,136.62,25548.6,25138.73,3960.03,3268.03,0.0931,0.104,0.01,-3,-409.869999999999,-692.0
100086,Premium,West Europe,Direct,Midscale,74.3,0,0,0.175,0.0,280,326,130.82,36628.23,42645.72,6409.94,7463.0,0.0614,0.0398,0.025,46,6017.489999999998,1053.0600000000004
100087,Core,North Europe,Direct,Upscale,69.0,1,0,0.165,0.0,93,93,186.45,17339.92,17339.92,2861.09,2861.09,0.0932,0.0898,0.01,0,0.0,0.0
100088,Growth,West Europe,Mobile,Midscale,76.3,1,1,0.155,0.025,201,234,125.29,25184.2,29318.92,3903.55,3811.46,0.0859,0.0978,0.025,33,4134.7199999999975,-92.09000000000015
100089,Core,South Europe,Direct,Upscale,96.4,1,0,0.165,0.0,372,362,177.38,65985.86,64212.05,10887.67,10594.99,0.1056,0.1027,0.01,-10,-1773.8099999999977,-292.6800000000003
100090,Growth,South Europe,Direct,Midscale,65.4,0,0,0.155,0.0,178,175,139.49,24829.73,24411.25,3848.61,3783.74,0.1109,0.1089,0.01,-3,-418.47999999999956,-64.87000000000035
100091,Premium,South Europe,Mobile,Upscale,66.3,0,0,0.175,0.0,251,250,227.11,57005.0,56777.89,9975.87,9936.13,0.1321,0.1221,0.01,-1,-227.11000000000058,-39.7400000000016
100092,Core,South Europe,Affiliate,Upscale,65.0,0,0,0.165,0.0,242,266,275.58,66691.22,73305.22,11004.05,12095.36,0.1153,0.1041,0.01,24,6614.0,1091.3100000000013
100093,Core,North Europe,Direct,Midscale,95.3,1,0,0.165,0.0,249,256,150.62,37505.13,38559.49,6188.35,6362.32,0.0607,0.0388,0.01,7,1054.3600000000006,173.96999999999935
100094,Core,Central Europe,Direct,Midscale,73.4,1,0,0.165,0.0,353,319,115.06,40616.58,36704.51,6701.74,6056.24,0.1018,0.0943,0.01,-34,-3912.0699999999997,-645.5
100095,Core,West Europe,Direct,Upscale,77.7,1,0,0.165,0.0,200,229,212.29,42458.61,48615.11,7005.67,8021.49,0.1119,0.1,0.01,29,6156.5,1015.8199999999997
100096,Core,South Europe,Mobile,Midscale,74.0,1,0,0.165,0.0,233,227,123.36,28743.73,28003.55,4742.72,4620.59,0.1276,0.1291,0.01,-6,-740.1800000000003,-122.13000000000011
100097,Growth,North Europe,Direct,Midscale,68.6,1,1,0.155,0.025,217,229,111.41,24177.02,25514.0,3747.44,3316.82,0.1005,0.0855,0.01,12,1336.9799999999996,-430.6199999999999
100098,Growth,Central Europe,Direct,Midscale,75.6,1,1,0.155,0.025,330,277,157.34,51923.71,43584.45,8048.17,5665.98,0.0548,0.0578,0.01,-53,-8339.260000000002,-2382.1900000000005
100099,Long Tail,West Europe,Direct,Upscale,98.0,0,0,0.15,0.0,130,137,234.39,30470.13,32110.82,4570.52,4816.62,0.03,0.0246,0.01,7,1640.6899999999987,246.09999999999945
100100,Long Tail,North Europe,Affiliate,Midscale,91.9,0,0,0.15,0.0,281,284,119.62,33614.3,33973.17,5042.14,5095.98,0.0697,0.0691,0.01,3,358.86999999999534,53.839999999999236
100101,Premium,West Europe,Direct,Midscale,69.5,0,0,0.175,0.0,176,178,162.62,28620.94,28946.18,5008.66,5065.58,0.0444,0.038,0.025,2,325.2400000000016,56.92000000000007
100102,Core,North Europe,Mobile,Midscale,84.5,1,1,0.165,0.025,356,356,122.45,43591.2,43591.2,7192.55,6102.77,0.131,0.1716,0.01,0,0.0,-1089.7799999999997
100103,Long Tail,North Europe,Direct,Upscale,69.7,0,0,0.15,0.0,86,82,206.48,17757.07,16931.16,2663.56,2539.67,0.1175,0.1185,0.01,-4,-825.9099999999999,-123.88999999999987
100104,Premium,South Europe,Affiliate,Budget,60.2,0,0,0.175,0.0,259,250,95.72,24792.33,23930.82,4338.66,4187.89,0.0972,0.11,0.01,-9,-861.510000000002,-150.76999999999953
100105,Premium,West Europe,Direct,Midscale,88.2,0,0,0.175,0.0,254,265,153.32,38944.53,40631.11,6815.29,7110.44,0.0543,0.0558,0.025,11,1686.5800000000017,295.14999999999964
100106,Core,Central Europe,Direct,Midscale,89.6,1,0,0.165,0.0,285,301,153.63,43784.04,46242.09,7224.37,7629.94,0.1061,0.0988,0.01,16,2458.0499999999956,405.5699999999997
100107,Core,West Europe,Direct,Upscale,88.5,1,0,0.165,0.0,243,238,223.01,54191.76,53076.7,8941.64,8757.66,0.0539,0.0524,0.01,-5,-1115.060000000005,-183.97999999999956
100108,Growth,South Europe,Mobile,Upscale,73.3,1,1,0.155,0.025,275,325,176.84,48629.81,57471.6,7537.62,7471.31,0.0731,0.0886,0.01,50,8841.79,-66.30999999999949
100109,Long Tail,West Europe,Mobile,Midscale,76.3,0,0,0.15,0.0,89,88,136.62,12159.09,12022.47,1823.86,1803.37,0.076,0.0744,0.025,-1,-136.6200000000008,-20.49000000000001
100110,Core,South Europe,Direct,Midscale,85.5,1,0,0.165,0.0,111,106,123.46,13704.47,13087.15,2261.24,2159.38,0.0879,0.0831,0.01,-5,-617.3199999999997,-101.85999999999967
100111,Growth,South Europe,Direct,Budget,81.9,1,0,0.155,0.0,141,144,111.37,15702.49,16036.58,2433.89,2485.67,0.1045,0.0933,0.01,3,334.09000000000015,51.7800000000002
100112,Core,West Europe,Corporate,Upscale,74.1,1,0,0.165,0.0,120,105,261.35,31361.63,27441.43,5174.67,4527.84,0.1275,0.1185,0.01,-15,-3920.2000000000007,-646.8299999999999
100113,Core,Central Europe,Affiliate,Budget,61.8,0,0,0.165,0.0,117,119,77.15,9026.99,9181.29,1489.45,1514.91,0.1374,0.1325,0.01,2,154.3000000000011,25.460000000000036
100114,Growth,West Europe,Direct,Midscale,79.1,1,0,0.155,0.0,174,150,119.75,20836.03,17962.1,3229.58,2784.12,0.0921,0.104,0.025,-24,-2873.9300000000003,-445.46000000000004
100115,Long Tail,North Europe,Direct,Midscale,88.8,0,0,0.15,0.0,115,104,135.88,15625.77,14131.14,2343.87,2119.67,0.1069,0.12,0.01,-11,-1494.630000000001,-224.19999999999982
100116,Premium,South Europe,Mobile,Midscale,66.0,0,0,0.175,0.0,219,179,128.4,28119.05,22983.15,4920.83,4022.05,0.0899,0.0787,0.01,-40,-5135.899999999998,-898.7799999999997
100117,Premium,Central Europe,Mobile,Budget,84.4,0,0,0.175,0.0,183,180,99.1,18135.41,17838.11,3173.7,3121.67,0.0407,0.0345,0.01,-3,-297.2999999999993,-52.029999999999745
100118,Core,North Europe,Affiliate,Budget,81.3,1,1,0.165,0.025,151,178,83.1,12547.38,14790.95,2070.32,2070.73,0.0729,0.0532,0.01,27,2243.5700000000015,0.4099999999998545
100119,Core,West Europe,Corporate,Upscale,85.5,1,0,0.165,0.0,190,188,193.39,36743.29,36356.52,6062.64,5998.83,0.0648,0.0746,0.01,-2,-386.7700000000041,-63.8100000000004
100120,Core,Central Europe,Affiliate,Midscale,86.7,1,0,0.165,0.0,294,311,114.04,33528.99,35467.74,5532.28,5852.18,0.0678,0.0696,0.01,17,1938.75,319.90000000000055
100121,Core,South Europe,Direct,Budget,71.1,1,1,0.165,0.025,159,198,109.28,17375.2,21637.04,2866.91,3029.19,0.0771,0.0789,0.01,39,4261.84,162.2800000000002
100122,Growth,Central Europe,Affiliate,Midscale,61.8,0,0,0.155,0.0,187,194,100.6,18811.51,19515.69,2915.78,3024.93,0.0998,0.1062,0.01,7,704.1800000000003,109.14999999999964
100123,Core,West Europe,Direct,Budget,72.7,1,1,0.165,0.025,195,188,74.55,14536.61,14014.78,2398.54,1962.07,0.1148,0.1066,0.01,-7,-521.8299999999999,-436.47
100124,Growth,South Europe,Direct,Upscale,86.9,1,0,0.155,0.0,160,151,170.5,27279.58,25745.1,4228.33,3990.49,0.1263,0.1427,0.01,-9,-1534.4800000000032,-237.84000000000015
100125,Core,West Europe,Direct,Budget,72.6,1,0,0.165,0.0,166,166,95.68,15882.46,15882.46,2620.61,2620.61,0.0562,0.0562,0.01,0,0.0,0.0
100126,Core,Central Europe,Direct,Budget,71.1,1,1,0.165,0.025,144,141,62.8,9042.5,8854.12,1492.01,1239.58,0.0689,0.0753,0.01,-3,-188.3799999999992,-252.43000000000006
100127,Growth,West Europe,Mobile,Budget,59.8,0,0,0.155,0.0,257,244,78.46,20165.24,19145.21,3125.61,2967.51,0.0938,0.091,0.01,-13,-1020.0300000000025,-158.0999999999999
100128,Growth,South Europe,Direct,Midscale,95.5,1,0,0.155,0.0,321,349,147.69,47408.96,51544.33,7348.39,7989.37,0.093,0.1078,0.01,28,4135.370000000003,640.9799999999996
100129,Core,West Europe,Direct,Midscale,86.3,1,0,0.165,0.0,155,169,130.98,20301.27,22134.94,3349.71,3652.26,0.079,0.0739,0.025,14,1833.6699999999983,302.5500000000002
100130,Growth,West Europe,Affiliate,Midscale,85.7,1,0,0.155,0.0,220,187,117.68,25890.35,22006.8,4013.0,3411.05,0.0667,0.0781,0.025,-33,-3883.5499999999993,-601.9499999999998
100131,Long Tail,South Europe,Affiliate,Midscale,87.7,0,0,0.15,0.0,174,161,137.51,23926.84,22139.2,3589.03,3320.88,0.1005,0.093,0.01,-13,-1787.6399999999994,-268.1500000000001
100132,Core,West Europe,Mobile,Midscale,83.8,1,0,0.165,0.0,226,217,107.22,24231.98,23266.99,3998.28,3839.05,0.1108,0.1016,0.025,-9,-964.989999999998,-159.23000000000002
100133,Core,Central Europe,Mobile,Budget,75.6,1,1,0.165,0.025,222,242,75.9,16850.76,18368.85,2780.38,2571.64,0.0956,0.0963,0.01,20,1518.0900000000001,-208.74000000000024
100134,Core,West Europe,Mobile,Budget,76.4,1,1,0.165,0.025,136,155,96.21,13085.19,14913.27,2159.06,2087.86,0.0747,0.1083,0.01,19,1828.08,-71.19999999999982
100135,Growth,South Europe,Direct,Upscale,73.7,1,1,0.155,0.025,359,480,199.74,71705.39,95873.51,11114.34,12463.56,0.1048,0.0956,0.01,121,24168.119999999995,1349.2199999999993
100136,Long Tail,West Europe,Affiliate,Budget,98.0,0,0,0.15,0.0,121,116,102.15,12360.23,11849.48,1854.04,1777.42,0.0653,0.0695,0.01,-5,-510.75,-76.61999999999989
100137,Core,West Europe,Affiliate,Upscale,83.6,1,1,0.165,0.025,161,161,220.76,35541.96,35541.96,5864.42,4975.88,0.0811,0.0688,0.01,0,0.0,-888.54
100138,Premium,West Europe,Direct,Budget,73.4,0,0,0.175,0.0,141,148,78.52,11071.61,11621.27,1937.53,2033.72,0.0857,0.0848,0.01,7,549.6599999999999,96.19000000000005
